uuid,Nazwa,Utworzenie,organ_nadzorujacy,rodzaj,panstwowy_instytut_badawczy,typ,typ_instytucji_naukowej,REGON,NIP,NIP2,KRS,www,e-mail,telefon,kraj,wojewodztwo,ulica,numer,kod_pocztowy,miasto
98bc3a1e-ad8a-4713-be5a-2e66d2a67e41,Akademia Jagiellońska w Toruniu,2003-09-09,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,871681089,9562110170,9562110170,,http://www.kj.edu.pl,kontakt@kj.edu.pl,695000011,Polska,kujawsko-pomorskie,ul. Prosta,4,87-100,Toruń
e8c292f9-7b79-4d42-8480-d0c7f7a5787b,Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego,1999-07-15,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,250938764,6181880248,6181880248,,https://akademia.kalisz.pl/,rektorat@akademia.kalisz.pl,48627679500,Polska,wielkopolskie,ul. Nowy Świat,4,62-800,Kalisz
9a2ed6bc-9fd4-4dc4-a668-6cad90e5c200,Akademia Katolicka w Warszawie,1988-05-03,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia kościelna,false,akademicka,,001407436,5211039941,5211039941,,www.bobolanum.pl,kadry@bobolanum.edu.pl,22 5428936,Polska,mazowieckie,ul. Dewajtis,3,01-815,Warszawa
172797e4-f3c0-41a6-a5f9-56e180ce7787,Akademia Kujawsko-Pomorska,2000-12-29,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,092913192,9671106463,9671106463,,http://www.kpsw.edu.pl,rektorat@kpsw.edu.pl,52-321-11-88,Polska,kujawsko-pomorskie,ul. Toruńska,55-57,85-023,Bydgoszcz
aaa74363-79c4-4585-a3f5-1f369070fd0a,Akademia Kultury Społecznej i Medialnej w Toruniu - Akademia Nauk Stosowanych,2001-08-14,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,871566276,9562055979,9562055979,,http://www.wsksim.edu.pl,rektorat@wsksim.edu.pl,56 610 71 31,Polska,kujawsko-pomorskie,ul. św. Józefa,23/35,87-100,Toruń
d5f072fd-5060-4d4e-84cd-e0313f85459f,Akademia Leona Koźmińskiego w Warszawie,1993-05-12,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,010228830,5241005438,5241005438,,http://www.kozminski.edu.pl,rektorat@kozminski.edu.pl,22 519 21 12,Polska,mazowieckie,ul. Jagiellońska,59,03-301,Warszawa
3b7a72f4-78d9-4c46-8876-932d37791dd0,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,1922-10-01,Minister Obrony Narodowej,Uczelnia publiczna,false,akademicka,,190064136,5860104693,5860104693,,http://www.amw.gdynia.pl,rektor@amw.gdynia.pl,261 26 25 14,Polska,pomorskie,ul. inż. J. Śmidowicza,69,81-127,Gdynia
fb0b716b-b98a-4c7a-a0bd-40c352f67d34,Akademia Mazowiecka w Płocku,1999-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,611038403,7742472620,7742472620,,https://mazowiecka.edu.pl/,mazowiecka@mazowiecka.edu.pl,24 3665420,Polska,mazowieckie,pl. gen. Jarosława Dąbrowskiego,2,09-402,Płock
82f46ff0-0103-4224-80d8-25e424f016ef,Akademia Medycznych i Społecznych Nauk Stosowanych,2004-03-24,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,170942078,5782731535,5782731535,,http://www.amisns.edu.pl,rektorat@amisns.edu.pl,55/239-38-02,Polska,warmińsko-mazurskie,ul. Lotnicza,2,82-300,Elbląg
cfa5bbee-e754-4694-9f50-3226c91dd7cb,Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy,1974-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000842390,5540313225,5540313225,,http://www.amuz.bydgoszcz.pl,sekr@amuz.bydgoszcz.pl,(52) 321-11-42,Polska,kujawsko-pomorskie,ul. Juliusza Słowackiego,7,85-008,Bydgoszcz
1cdeb0b0-d2cb-4790-b753-32804af5202f,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,1946-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275725,7240005176,7240005176,,http://www.amuz.lodz.pl/,kancelaria@amuz.lodz.pl,42 6621663,Polska,łódzkie,ul. Gdańska,32,90-716,Łódź
ef468625-bba7-4557-8b5b-d6caea8d296c,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,1920-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275731,7781331533,7781331533,,http://www.amuz.edu.pl,amuz@amuz.edu.pl,(61)  856 89 00,Polska,wielkopolskie,ul. Święty Marcin,87,61-808,Poznań
cda93a67-5464-42e6-853b-d2666a5f7e41,Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu,1948-11-05,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275748,8971546349,8971546349,,http://www.amuz.wroc.pl,info@amkl.edu.pl,713100500,Polska,dolnośląskie,pl. Jana Pawła II,2,50-043,Wrocław
f9469b78-28ba-4ae7-a8a7-75deeebf53b7,Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,1948-11-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275760,6340136434,6340136434,,http://am.katowice.pl,rektor@am.katowice.pl,32 7792111,Polska,śląskie,ul. Zacisze,3,40-025,Katowice
5befab98-bc6e-4039-8315-eed54f8cce0f,Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,1888-02-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275719,6750007587,6750007587,,http://www.amuz.krakow.pl,rektor@amuz.krakow.pl,+48 12 422 04 55,Polska,małopolskie,ul. św. Tomasza,43,31-027,Kraków
91ab4da1-a170-40fc-a351-2339b7ef3899,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku,1947-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275754,5830015884,5830015884,,http://www.amuz.gda.pl/,rektorat@amuz.gda.pl,48583009200,Polska,pomorskie,ul. Łąkowa,1-2,80-743,Gdańsk
00f677e2-8ad1-493a-b69b-0f70d7b09c0d,Akademia Nauk Stosowanych Angelusa Silesiusa,1999-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,891041167,8862476667,8862476667,,https://www.ans.edu.pl/,biurorektora@ans.edu.pl,746419200,Polska,dolnośląskie,ul. Zamkowa,4,58-300,Wałbrzych
f8be4ace-1c15-47ce-964a-bca3e85d2da6,Akademia Nauk Stosowanych Gospodarki Krajowej w Kutnie,2005-08-25,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,610998207,7752033388,7752033388,,http://www.wsgk.com.pl,wsgk@wsgk.com.pl,0-24/355 83 40,Polska,łódzkie,ul. Lelewela,7,99-300,Kutno
3b58b562-f989-497c-a844-2a893fb99609,Akademia Nauk Stosowanych im. Hipolita Cegielskiego w Gnieźnie Uczelnia Państwowa,2004-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,634603839,7842273794,7842273794,,http://www.pwsz-gniezno.edu.pl,sekretariat@pwsz-gniezno.edu.pl,061 424 29 42,Polska,wielkopolskie,ul. ks. kard. Stefana Wyszyńskiego,38,62-200,Gniezno
940986f1-12da-4738-b815-cfa903f55dbc,Akademia Nauk Stosowanych im. Jana Amosa Komeńskiego w Lesznie,1999-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,411123351,6971981908,6971981908,,http://www.pwsz.edu.pl,kancelaria@pwsz.edu.pl,655296060,Polska,wielkopolskie,ul. Adama Mickiewicza,5,64-100,Leszno
c10b9c4e-c1a9-40f3-af77-964c8c1971e2,Akademia Nauk Stosowanych im. Józefa Gołuchowskiego,1996-04-02,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,290698978,6611259598,6611259598,,http://www.wsbip.edu.pl,info@wsbip.edu.pl,41/260-40-40,Polska,świętokrzyskie,ul. Akademicka,12,27-400,Ostrowiec Świętokrzyski
6a71f2f0-1f33-4abf-8731-a9a4d1157af7,Akademia Nauk Stosowanych im. Księcia Mieszka I w Poznaniu,2004-09-16,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,300410823,7831595399,7831595399,,http://www.wspia.pl,kontakt@wspia.pl,616-460-370,Polska,wielkopolskie,ul. Bułgarska,55,60-320,Poznań
0d16bad6-cc0e-4988-abb6-eb9828204ef5,Akademia Nauk Stosowanych im. prof. Edwarda Lipińskiego w Kielcach,1997-08-26,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,290859878,9591175195,9591175195,,http://www.wseip.edu.pl,wseip@wseip.edu.pl,413669330,Polska,świętokrzyskie,ul. Jagiellońska,109 A,25-734,Kielce
1aac7c63-437b-484c-8e33-1cb504ece435,Akademia Nauk Stosowanych im. Stanisława Staszica w Pile,2000-08-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,570889124,7642277132,7642277132,,http://www.ans.pila.pl,info@ans.pila.pl,67 3522600,Polska,wielkopolskie,ul. Podchorążych,10,64-920,Piła
d521e56b-c925-4b88-ada3-5a6ecec4f59b,Akademia Nauk Stosowanych Mazovia,1999-07-12,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,711643331,8212102933,8212102933,,http://www.mazovia.edu.pl,info@mazovia.edu.pl,256333032,Polska,mazowieckie,ul. Sokołowska,161,08-110,Siedlce
1c2de046-5c42-44fc-943c-50ac63cf38a5,Akademia Nauk Stosowanych Stefana Batorego,2005-10-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,100095322,8361770723,8361770723,,https://www.ansb.pl,rektorat@ansb.pl,46 834 40 01,Polska,łódzkie,ul. Stefana Batorego,64C,96-100,Skierniewice
9a80eec2-fc58-44c1-89ed-0e424ac52932,Akademia Nauk Stosowanych Towarzystwa Wiedzy Powszechnej w Szczecinie,1997-06-04,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,811099769,8522047217,8522047217,,https://akademiatwp.pl,azwierello@anstwp.pl,91 424 32 00,Polska,zachodniopomorskie,ul. Monte Cassino,15,70-466,Szczecin
ce192410-f971-477b-8451-69e8d63b5f18,Akademia Nauk Stosowanych w Elblągu,1998-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,170711628,5782490793,5782490793,,http://www.ans-elblag.pl,ans@ans-elblag.pl,0-55/629 05 06,Polska,warmińsko-mazurskie,ul. Wojska Polskiego,1,82-300,Elbląg
4f0b8508-9253-49ee-acc6-f5ff47c4660d,Akademia Nauk Stosowanych we Wrocławiu,2004-07-30,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,110722490,5632184540,5632184540,,http://www.naukistosowane.edu.pl,dziekanat@naukistosowane.edu.pl,501868593,Polska,dolnośląskie,ul. Petuniowa,9,53-238,Wrocław
fb71b030-d0fe-4b46-bac3-ede82f662a7e,Akademia Nauk Stosowanych Wincentego Pola w Lublinie,2000-09-07,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,431269790,7122605305,7122605305,,https://akademia-pol.edu.pl/,info@pol.edu.pl,817407240,Polska,lubelskie,ul. Choiny,2,20-816,Lublin
7510fd24-edbd-4e46-b680-e7829cf52a80,Akademia Nauk Stosowanych w Koninie,1998-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,311000031,6652279617,6652279617,,http://www.ans.konin.edu.pl,rektorat@konin.edu.pl,632497202,Polska,wielkopolskie,ul. Przyjaźni,1,62-510,Konin
fab8ffae-7bc4-4ae5-b896-7aa0f534ab93,Akademia Nauk Stosowanych w Łomży,2004-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,451202740,7181947148,7181947148,,http://ansl.edu.pl,biuro@ansl.edu.pl,86 2155950,Polska,podlaskie,ul. Akademicka,14,18-400,Łomża
ccc24230-94bd-4fab-9b88-dca9652e52c7,Akademia Nauk Stosowanych w Nowym Sączu,1998-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,491861240,7342559820,7342559820,,http://www.ans-ns.edu.pl,sog@ans-ns.edu.pl,18 443-45-45,Polska,małopolskie,ul. Stanisława Staszica,1,33-300,Nowy Sącz
94e6dfa9-16c3-4447-aa48-59aa5351d12b,Akademia Nauk Stosowanych w Raciborzu,2002-02-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,277719630,6391796666,6391796666,,https://www.akademiarac.edu.pl,rektorat@akademiarac.edu.pl,324155020,Polska,śląskie,ul. Juliusza Słowackiego,55,47-400,Racibórz
df584ad3-5474-4618-812a-2e10b03b48c0,Akademia Nauk Stosowanych w Tarnowie,1998-05-19,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,851634303,8732679395,8732679395,,www.anstar.edu.pl,ans@anstar.edu.pl,146316601,Polska,małopolskie,ul. Adama Mickiewicza,8,33-100,Tarnów
c9fad99a-1267-48c1-88e3-47edca7ee8a2,Akademia Nauk Stosowanych w Wałczu,2004-07-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,331447710,7651597178,7651597178,,https://www.answalcz.pl,rektorat@answalcz.pl,48672500187,Polska,zachodniopomorskie,ul. Wojska Polskiego,99,78-600,Wałcz
704c9ddd-ef4d-40de-999b-b7a7f99244f5,Akademia Nauk Stosowanych - Wyższa Szkoła Zarządzania i Administracji w Opolu,1996-08-05,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,531152730,7541824897,7541824897,,http://www.wszia.opole.pl,info@poczta.wszia.opole.pl,77 4021900,Polska,opolskie,ul. Mieczysława Niedziałkowskiego,18,45-085,Opole
e45fc816-fbf4-4e46-adfa-89c07c084f45,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,1922-01-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000001488,5250005840,5250005840,,http://www.aps.edu.pl,aps@aps.edu.pl,22 589 36 00,Polska,mazowieckie,ul. Szczęśliwicka,40,02-353,Warszawa
0d4d865c-0ef3-436e-9bcd-5fc3b56f168f,Akademia Polonijna w Częstochowie,1992-09-04,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,150046075,5731034105,5731034105,,https://ap.edu.pl/,kancelaria@ap.edu.pl,48530137864,Polska,śląskie,ul. gen. Kazimierza Pułaskiego,4/6,42-200,Częstochowa
c2e40008-ad66-4712-8be8-e06fa7235fd2,Akademia Pomorska w Słupsku,1969-06-19,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000001459,8391028460,8391028460,,http://www.apsl.edu.pl,rektor@apsl.edu.pl,59 84 05 930,Polska,pomorskie,ul. Krzysztofa Arciszewskiego,22a,76-200,Słupsk
fea43f3f-0e69-4f13-aaa3-d651e479abf8,Akademia Sztuki Wojennej,1990-10-01,Minister Obrony Narodowej,Uczelnia publiczna,false,akademicka,,011574244,1130005367,1130005367,,http://www.akademia.mil.pl/,sekretariat.aszwoj@akademia.mil.pl,22 6813401,Polska,mazowieckie,"al. Aleja gen. Antoniego Chruściela ""Montera""",103,00-910,Warszawa
e3cf1bf3-bdb0-458f-9968-6243bb2df7bb,Akademia Sztuki w Szczecinie,2010-09-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,320850334,8513121799,8513121799,,http://www.akademiasztuki.eu/,sekretariat@akademiasztuki.eu,664080223,Polska,zachodniopomorskie,pl. Orła Białego,2,70-562,Szczecin
03efdf96-e26e-4489-82d4-20dbf57e29f8,Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,1946-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275814,8960007502,8960007502,,http://asp.wroc.pl,rector@asp.wroc.pl,71 33 44 722,Polska,dolnośląskie,pl. Polski,3/4,50-156,Wrocław
6932a745-602a-4c09-8f1f-758fa30e36ac,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,1901-01-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275783,6750007570,6750007570,,http://www.asp.krakow.pl/,rektor@asp.krakow.pl,+48 12 2992013,Polska,małopolskie,pl. Plac Jana Matejki,13,31-157,Kraków
c50bd2eb-f024-47a4-abb2-5f5ba6de7627,Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi,1945-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275790,7240005348,7240005348,,http://www.asp.lodz.pl,rektorat@asp.lodz.pl,48422547400,Polska,łódzkie,ul. Wojska Polskiego,121,91-726,Łódź
07b1296a-15ed-4caf-a2ca-1a24a57f5959,Akademia Sztuk Pięknych w Gdańsku,1945-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275820,5830009346,5830009346,,http://www.asp.gda.pl,rektorat@asp.gda.pl,58 301 44 40,Polska,pomorskie,ul. Targ Węglowy,6,80-836,Gdańsk
1035286a-f2d5-4650-b309-309eb37965e9,Akademia Sztuk Pięknych w Katowicach,2001-09-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,277620860,6342439334,6342439334,,http://asp.katowice.pl,asp@asp.katowice.pl,327587702,Polska,śląskie,ul. Raciborska,37,40-074,Katowice
ae7be1ba-27cb-4376-96c5-e98a2c040730,Akademia Sztuk Pięknych w Warszawie,1904-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275777,5250008666,5250008666,,http://www.asp.waw.pl,rektorat@asp.waw.pl,(22) 826 21 14,Polska,mazowieckie,ul. Krakowskie Przedmieście,5,00-068,Warszawa
a552e574-34c1-4df9-930b-a54b06f25b97,Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie,1946-10-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275843,6750007593,6750007593,,http://www.ast.krakow.pl,kancelaria@ast.krakow.pl,123627112,Polska,małopolskie,ul. Straszewskiego,21-22,31-109,Kraków
4ab10dcb-1c97-4a34-94a6-70107b058fd0,Akademia Śląska,2003-12-15,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,278168801,6342513160,6342513160,,http://www.wst.pl,wst@wst.com.pl,32 60 72 400,Polska,śląskie,ul. Rolna,43,40-555,Katowice
9dc46d5f-ff3d-4691-9018-4e3993838b3d,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,1946-08-01,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)",Uczelnia publiczna,false,akademicka,,000275837,5251589168,5251589168,,http://www.at.edu.pl,biuro.rektora@e-at.edu.pl,22 831-02-16,Polska,mazowieckie,ul. Miodowa,22/24,00-246,Warszawa
ea6c2a5f-cea7-406c-84ca-cb69452fa94e,Akademia Techniczno-Humanistyczna w Bielsku-Białej,2001-07-19,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,072728961,5471943784,5471943784,,http://www.ath.bielsko.pl,biurorektora@ath.bielsko.pl,33 82-79-201,Polska,śląskie,ul. Willowa,2,43-309,Bielsko-Biała
f8d0b933-97be-4910-b110-2b76fc6198f6,Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki,1967-10-01,Minister Obrony Narodowej,Uczelnia publiczna,false,akademicka,,930388062,8961000117,8961000117,,https://www.wojsko-polskie.pl/awl/,komendant@awl.edu.pl,261-658-222,Polska,dolnośląskie,ul. Piotra Czajkowskiego,109,51-147,Wrocław
69309128-a485-48bf-b8fb-006187190299,Akademia WSB,1995-08-04,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,272653903,6291088993,6291088993,,http://www.wsb.edu.pl,rektorat@wsb.edu.pl,32 2628560,Polska,śląskie,ul. Cieplaka,1 C,41-300,Dąbrowa Górnicza
1ed8b72b-128f-41e7-9395-4eb66e500572,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,1950-07-05,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000327847,6750001952,6750001952,,http://www.awf.krakow.pl,Ryszard.Marszalek@awf.krakow.pl,12-683-15-66,Polska,małopolskie,al. Aleja Jana Pawła II,78,31-571,Kraków
f3b17ba6-8d96-4eee-a245-737a6775d82d,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,1919-04-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000327853,7770003185,7770003185,,http://www.awf.poznan.pl,rektorat@awf.poznan.pl,618355000,Polska,wielkopolskie,ul. Królowej Jadwigi,27/39,61-648,Poznań
51310d3f-60fd-43e1-a210-07d090082219,Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,1970-09-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000327882,6340195342,6340195342,,http://www.awf.katowice.pl,rektorat@awf.katowice.pl,322075152,Polska,śląskie,ul. Mikołowska,72 A,40-065,Katowice
04496ff8-47c8-4c64-af60-278a7de9d867,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,1946-01-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000327860,8960007519,8960007519,,http://www.awf.wroc.pl,rektor@awf.wroc.pl,71 347 3101,Polska,dolnośląskie,al. Ignacego Jana Paderewskiego,35,51-612,Wrocław
